asset_id,kind,file,origin,tool,licence,notes
boss/sir_barkhelm/defeat/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/defeat/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/defeat/4,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/4,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/defeat/5,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/5,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/hit/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/hit/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/hit/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/hit/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/shield/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/shield/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/shield/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/shield/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/shield/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/shield/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/shield/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/shield/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/walk/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/walk/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/walk/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/walk/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/walk/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/walk/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/walk/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/walk/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/windup/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/windup/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/windup/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/windup/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/windup/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/windup/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/windup/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/windup/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
citadel/base,sprite,Art/Resources/ECArt/citadel.png#citadel/base,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/cracks1,sprite,Art/Resources/ECArt/citadel.png#citadel/cracks1,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/cracks2,sprite,Art/Resources/ECArt/citadel.png#citadel/cracks2,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/reinforce1,sprite,Art/Resources/ECArt/citadel.png#citadel/reinforce1,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/reinforce2,sprite,Art/Resources/ECArt/citadel.png#citadel/reinforce2,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/reinforce3,sprite,Art/Resources/ECArt/citadel.png#citadel/reinforce3,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/ruin,sprite,Art/Resources/ECArt/citadel.png#citadel/ruin,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/shadow,sprite,Art/Resources/ECArt/citadel.png#citadel/shadow,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/slot_glow,sprite,Art/Resources/ECArt/citadel.png#citadel/slot_glow,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/stormheart/0,sprite,Art/Resources/ECArt/citadel.png#citadel/stormheart/0,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/stormheart/1,sprite,Art/Resources/ECArt/citadel.png#citadel/stormheart/1,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/stormheart/2,sprite,Art/Resources/ECArt/citadel.png#citadel/stormheart/2,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
citadel/stormheart/3,sprite,Art/Resources/ECArt/citadel.png#citadel/stormheart/3,"original, generated",Tools/art/gen_citadel.py:build,project-owned (original),
enemy/bat/attack/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/attack/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/attack/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/attack/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/attack/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/attack/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/attack/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/attack/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/death/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/death/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/death/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/death/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/death/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/death/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/death/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/death/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/death/4,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/death/4,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/fly/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/fly/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/fly/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/fly/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/fly/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/fly/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat/fly/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat/fly/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/attack/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/attack/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/attack/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/attack/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/attack/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/attack/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/attack/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/attack/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/death/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/death/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/death/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/death/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/death/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/death/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/death/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/death/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/death/4,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/death/4,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/fly/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/fly/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/fly/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/fly/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bat_elite/fly/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/fly/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
